County,Docket,Agency,File size,Property name,All commodities,,#,Mine Name,County,Commodity,Approx. Coordinates,Status
Grand,4149,DMEA,13 MB,Hope Group,Uranium,,127,Hope Group,Grand,Uranium,"38.8250, -109.4000",Inactive
Grand,4167,DMEA,18 MB,John Group,Uranium,,128,John Group,Grand,Uranium,"38.8420, -109.3950",Inactive
Grand,4316,DMEA,4 MB,Polecat Claims,Uranium,,129,Polecat Claims,Grand,Uranium,"38.8550, -109.4520",Inactive
Grand,4518,DMEA,5 MB,Golden West Property,Uranium,,130,Golden West Property,Grand,Uranium,"38.8350, -109.3850",Inactive
Grand,4557,DMEA,3 MB,"Little Sqwaw, et al., Groups",Uranium,,131,Little Sqwaw Group,Grand,Uranium,"38.8420, -109.4020",Inactive
Grand,4566,DMEA,5 MB,Edna Claims,Uranium,,132,Edna Claims,Grand,Uranium,"38.8350, -109.3750",Inactive
Grand,4638,DMEA,4 MB,"Toby, et al., Claims",Uranium,,133,"Toby, et al., Claims",Grand,Uranium,"38.8250, -109.3650",Inactive
Grand,4657,DMEA,6 MB,Yellow Cat & Tim Groups,Uranium,,134,Yellow Cat & Tim,Grand,Uranium,"38.8480, -109.5280",Inactive
Grand,4664,DMEA,4 MB,John Group of Claims,Uranium,,135,John Group (4664),Grand,Uranium,"38.8420, -109.4020",Inactive
Grand,5064,DMEA,12 MB,Aldridge Property,Uranium,,136,Aldridge Property,Grand,Uranium,"38.8150, -109.3550",Inactive
Grand,5066,DMEA,14 MB,Cane Creek Moab Area,Uranium,,137,Cane Creek Moab Area,Grand,Uranium,"38.4720, -109.6120",Inactive
Grand,6063,OME,<1 MB,"Valley View, Et al., Claims",Uranium,,138,"Valley View, et al.",Grand,Uranium,"38.8550, -109.4120",Inactive
Iron,591,DMA,23 MB,Sunken Basins,"Iron, gold, molybdenum, manganese, nickel, platinum",,139,Sunken Basins,Iron,"Fe, Au, Mo, Mn","37.7680, -112.9841",Inactive
Iron,1578,DMA,3 MB,McCahill Group,Iron,,140,McCahill Group,Iron,Iron,"37.7020, -113.3550",Inactive
Iron,4195,DMEA,6 MB,Highland Claims,Copper,,141,Highland Claims,Iron,Copper,"37.8520, -113.1550",Inactive
Iron,4250,DMEA,9 MB,"Hot Spot Claim, et al.",Uranium,,142,Hot Spot Claim,Iron,Uranium,"37.9550, -113.2520",Inactive
Iron,4571,DMEA,11 MB,Cina Mine Claims,Mercury,,143,Cina Mine Claims,Iron,Mercury,"37.6520, -113.0550",Inactive
Iron,4628,DMEA,13 MB,New Arrowhead Claims,Lead-zinc,,144,New Arrowhead,Iron,"Lead, Zinc","37.9820, -113.4520",Inactive
Iron,6260,OME,3 MB,Skougard Property,Silver,,145,Skougard Property,Iron,Silver,"37.8120, -113.5220",Inactive
Iron,6373,OME,35 MB,Escalante Silver Mines,Silver,,146,Escalante Silver Mines,Iron,Silver,"37.8140, -113.5180",Inactive
Iron,6760,OME,14 MB,Metal Enterprise Co.,Silver,,147,Metal Enterprise Co.,Iron,Silver,"37.8200, -113.5250",Inactive
Juab,1,DMA,276 MB,Chief Consolidated Mines,"Lead-zinc, gold, silver, copper",,148,Chief Consolidated,Juab,"Pb, Zn, Au, Ag","39.9508, -112.1181",Inactive
Juab,127,DMA,4 MB,Nebo Iris Mine,Lead-zinc,,149,Nebo Iris Mine,Juab,"Lead, Zinc","39.8550, -111.7550",Inactive
Juab,234,DMA,9 MB,Eva Mine,"Lead-zinc, silver",,150,Eva Mine,Juab,"Pb, Zn, Ag","39.8638, -111.7688",Inactive
Juab,839,DMA,9 MB,Tinitic Outpost Mining Co. property,"Lead-zinc, silver, gold",,1,Tinitic Outpost Mining Co. property,Juab,"Pb, Zn, Ag, Au","39.840, -112.393",Inactive
Juab,1401,DMA,10 MB,Wilson Mining Company,"Lead, silver, zinc, sulphur, iron, lime",,2,Wilson Mining Company,Juab,"Pb, Ag, Zn, S, Fe, Lime","39.925, -112.115",Inactive
Juab,1408,DMA,5 MB,Sunbeam Claims,Uranium,,3,Sunbeam Claims,Juab,Uranium,"39.875, -112.145",Inactive
Juab,1615,DMA,11 MB,Della,"Copper, lead, gold, silver",,4,Della,Juab,"Cu, Pb, Au, Ag","39.952, -112.112",Inactive
Juab,1731,DMA,13 MB,Spider Claim Group,Uranium,,5,Spider Claim Group,Juab,Uranium,"39.735, -113.212",Inactive
Juab,2046,DMA,14 MB,Goshute Indian Reservation,Quartz,,6,Goshute Indian Reservation,Juab,Quartz,"39.905, -114.015",Inactive
Juab,2136,DMA,19 MB,Apex Tungsten Mine,Tungsten,,7,Apex Tungsten Mine,Juab,Tungsten,"39.812, -112.355",Inactive
Juab,2672,DMEA,20 MB,Evelyn Mine,Lead,,8,Evelyn Mine,Juab,Lead,"39.855, -112.392",Inactive
Juab,2777,DMEA,1 MB,Dyke Claims,"Gold, silver, copper",,9,Dyke Claims,Juab,"Au, Ag, Cu","39.852, -112.385",Inactive
Juab,2845,DMEA,3 MB,Pink Lady Claims,Manganese,,10,Pink Lady Claims,Juab,Manganese,"39.635, -112.425",Inactive
Juab,3159,DMEA,11 MB,Trout Creek Mine,Tungsten,,11,Trout Creek Mine,Juab,Tungsten,"39.785, -113.842",Inactive
Juab,3214,DMEA,5 MB,Orme Manganese Property,Manganese,,12,Orme Manganese Property,Juab,Manganese,"39.712, -112.285",Inactive
Juab,3704,DMEA,10 MB,Eagle Rock Claims,"Uranium, rare earths",,13,Eagle Rock Claims,Juab,"Uranium, Rare Earths","39.822, -112.165",Inactive
Juab,3800,DMEA,47 MB,Black Jack Mine,Tungsten,,14,Black Jack Mine,Juab,Tungsten,"39.815, -112.352",Inactive
